"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"SWE","Sweden","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,94,,
"CHE","Switzerland","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"GBR","United Kingdom","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,89,,
"EST","Estonia","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"LVA","Latvia","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,89,,
"SVN","Slovenia","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,95,,
"AUT","Austria","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,93,,
"BEL","Belgium","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,87,,
"CZE","Czech Republic","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,97,,
"DNK","Denmark","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,97,,
"FIN","Finland","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,98,,
"FRA","France","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,96,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,89,,
"GRC","Greece","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,79,,
"HUN","Hungary","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,96,,
"ISL","Iceland","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,98,,
"IRL","Ireland","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,96,,
"ITA","Italy","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,86,,
"LUX","Luxembourg","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,91,,
"NLD","Netherlands","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,92,,
"NOR","Norway","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,96,,
"POL","Poland","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,95,,
"PRT","Portugal","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,86,,
"SVK","Slovak Republic","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,95,,
"ESP","Spain","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,94,,
"SWE","Sweden","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,93,,
"CHE","Switzerland","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,95,,
"GBR","United Kingdom","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,96,,
"EST","Estonia","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,97,,
"LVA","Latvia","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,94,,
"SVN","Slovenia","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,95,,
"AUT","Austria","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,96,,
"BEL","Belgium","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,94,,
"CZE","Czech Republic","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,99,,
"DNK","Denmark","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,95,,
"FIN","Finland","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,100,,
"FRA","France","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,97,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,91,,
"GRC","Greece","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,86,,
"HUN","Hungary","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,95,,
"ISL","Iceland","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,99,,
"IRL","Ireland","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,96,,
"ITA","Italy","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,90,,
"LUX","Luxembourg","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,92,,
"NLD","Netherlands","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,97,,
"NOR","Norway","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,98,,
"POL","Poland","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,98,,
"PRT","Portugal","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,95,,
"SVK","Slovak Republic","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,97,,
"ESP","Spain","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,97,,
"SWE","Sweden","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,96,,
"CHE","Switzerland","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,95,,
"GBR","United Kingdom","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,93,,
"EST","Estonia","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,96,,
"LVA","Latvia","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,97,,
"AUT","Austria","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,92,,
"BEL","Belgium","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,88,,
"CZE","Czech Republic","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,96,,
"DNK","Denmark","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,95,,
"FIN","Finland","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,97,,
"FRA","France","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,95,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,90,,
"GRC","Greece","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,77,,
"HUN","Hungary","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,96,,
"IRL","Ireland","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,97,,
"ITA","Italy","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,91,,
"LUX","Luxembourg","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,91,,
"NLD","Netherlands","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,93,,
"NOR","Norway","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,94,,
"POL","Poland","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,93,,
"PRT","Portugal","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,92,,
"SVK","Slovak Republic","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,95,,
"ESP","Spain","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,93,,
"SWE","Sweden","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,93,,
"CHE","Switzerland","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,94,,
"GBR","United Kingdom","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,93,,
"EST","Estonia","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,93,,
"LVA","Latvia","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,91,,
"SVN","Slovenia","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,95,,
"AUT","Austria","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"BEL","Belgium","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"CZE","Czech Republic","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"DNK","Denmark","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"FIN","Finland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"FRA","France","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,81,,
"DEU","Germany","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"GRC","Greece","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"HUN","Hungary","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"ISL","Iceland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"IRL","Ireland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,85,,
"ITA","Italy","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,63,,
"LUX","Luxembourg","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"NLD","Netherlands","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,81,,
"NOR","Norway","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"POL","Poland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,93,,
"PRT","Portugal","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,55,,
"SVK","Slovak Republic","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,92,,
"ESP","Spain","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,63,,
"SWE","Sweden","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,84,,
"CHE","Switzerland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,89,,
"GBR","United Kingdom","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"EST","Estonia","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"LVA","Latvia","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,89,,
"SVN","Slovenia","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,90,,
"AUT","Austria","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,88,,
"BEL","Belgium","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"CZE","Czech Republic","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,95,,
"DNK","Denmark","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"FIN","Finland","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,89,,
"FRA","France","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,81,,
"DEU","Germany","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,87,,
"GRC","Greece","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"HUN","Hungary","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,87,,
"ISL","Iceland","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"IRL","Ireland","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,83,,
"ITA","Italy","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,61,,
"LUX","Luxembourg","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"NLD","Netherlands","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,81,,
"NOR","Norway","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,82,,
"POL","Poland","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"PRT","Portugal","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,52,,
"SVK","Slovak Republic","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"ESP","Spain","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,60,,
"SWE","Sweden","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,83,,
"CHE","Switzerland","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,90,,
"GBR","United Kingdom","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,81,,
"EST","Estonia","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,87,,
"LVA","Latvia","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,86,,
"SVN","Slovenia","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,91,,
"AUT","Austria","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,83,,
"BEL","Belgium","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,81,,
"CZE","Czech Republic","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,93,,
"DNK","Denmark","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,83,,
"FIN","Finland","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,94,,
"FRA","France","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,82,,
"DEU","Germany","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,86,,
"GRC","Greece","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,78,,
"HUN","Hungary","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,84,,
"ISL","Iceland","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,78,,
"IRL","Ireland","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,88,,
"ITA","Italy","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"LUX","Luxembourg","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,74,,
"NLD","Netherlands","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,81,,
"NOR","Norway","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,83,,
"POL","Poland","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,94,,
"PRT","Portugal","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,59,,
"SVK","Slovak Republic","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,92,,
"ESP","Spain","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"SWE","Sweden","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,85,,
"CHE","Switzerland","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,88,,
"GBR","United Kingdom","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,83,,
"EST","Estonia","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,94,,
"LVA","Latvia","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,93,,
"SVN","Slovenia","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,89,,
"AUT","Austria","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,491,,
"BEL","Belgium","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,500,,
"CZE","Czech Republic","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,495,,
"DNK","Denmark","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,501,,
"FIN","Finland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,516,,
"FRA","France","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,494,,
"DEU","Germany","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,500,,
"GRC","Greece","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,453,,
"HUN","Hungary","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,479,,
"ISL","Iceland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,481,,
"IRL","Ireland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,505,,
"ITA","Italy","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,477,,
"LUX","Luxembourg","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,477,,
"NLD","Netherlands","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,502,,
"NOR","Norway","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,497,,
"POL","Poland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,513,,
"PRT","Portugal","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,492,,
"SVK","Slovak Republic","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,469,,
"SWE","Sweden","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,503,,
"CHE","Switzerland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,498,,
"GBR","United Kingdom","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,503,,
"EST","Estonia","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,526,,
"LVA","Latvia","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,487,,
"SVN","Slovenia","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,504,,
"AUT","Austria","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,489,,
"BEL","Belgium","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,499,,
"CZE","Czech Republic","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,490,,
"DNK","Denmark","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,496,,
"FIN","Finland","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,503,,
"FRA","France","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,490,,
"DEU","Germany","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,497,,
"GRC","Greece","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,445,,
"HUN","Hungary","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,477,,
"ISL","Iceland","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,472,,
"IRL","Ireland","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,501,,
"ITA","Italy","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,476,,
"LUX","Luxembourg","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,472,,
"NLD","Netherlands","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,497,,
"NOR","Norway","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,486,,
"POL","Poland","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,508,,
"PRT","Portugal","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,490,,
"SVK","Slovak Republic","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,463,,
"SWE","Sweden","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,495,,
"CHE","Switzerland","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,494,,
"GBR","United Kingdom","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,503,,
"EST","Estonia","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,521,,
"LVA","Latvia","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,482,,
"SVN","Slovenia","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,495,,
"AUT","Austria","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,493,,
"BEL","Belgium","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,501,,
"CZE","Czech Republic","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,501,,
"DNK","Denmark","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,506,,
"FIN","Finland","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,530,,
"FRA","France","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,497,,
"DEU","Germany","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,504,,
"GRC","Greece","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,462,,
"HUN","Hungary","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,481,,
"ISL","Iceland","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,491,,
"IRL","Ireland","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,508,,
"ITA","Italy","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,478,,
"LUX","Luxembourg","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,481,,
"NLD","Netherlands","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,508,,
"NOR","Norway","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,508,,
"POL","Poland","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,518,,
"PRT","Portugal","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,494,,
"SVK","Slovak Republic","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,475,,
"SWE","Sweden","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,510,,
"CHE","Switzerland","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,502,,
"GBR","United Kingdom","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,504,,
"EST","Estonia","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,530,,
"LVA","Latvia","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,493,,
"SVN","Slovenia","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,512,,
"AUT","Austria","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,533,,
"BEL","Belgium","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,550,,
"CZE","Czech Republic","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,544,,
"DNK","Denmark","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,540,,
"FIN","Finland","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,562,,
"FRA","France","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,550,,
"DEU","Germany","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,564,,
"GRC","Greece","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,502,,
"HUN","Hungary","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,534,,
"ISL","Iceland","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,510,,
"IRL","Ireland","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,557,,
"ITA","Italy","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,511,,
"LUX","Luxembourg","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,537,,
"NLD","Netherlands","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,536,,
"NOR","Norway","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,532,,
"POL","Poland","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,560,,
"PRT","Portugal","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,543,,
"SVK","Slovak Republic","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,511,,
"SWE","Sweden","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,549,,
"CHE","Switzerland","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,539,,
"GBR","United Kingdom","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,550,,
"EST","Estonia","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,558,,
